C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:837
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:840
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:844
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:846
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:849
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:853
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:855
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:858
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:862
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:864
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:867
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:871
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:873
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:876
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:880
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:882
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:885
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:889
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:891
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:894
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:898
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:900
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:903
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:907
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:909
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:912
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:916
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:918
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:921
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:925
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:927
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:930
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:934
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:936
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:939
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:943
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:945
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:948
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:952
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:954
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:957
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:961
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:963
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:966
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:970
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:972
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:975
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:979
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:981
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:984
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:988
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:990
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:993
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:997
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:999
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1002
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1006
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1008
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1011
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1015
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1017
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1020
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1024
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1026
