C009  AD 02 20  LDA $2002 = 00                  f0      c169         i48          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:166 SL:0   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c173         i49          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:178 SL:0   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c176         i50          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:187 SL:0   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c180         i51          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:199 SL:0   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c183         i52          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:208 SL:0   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c187         i53          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:220 SL:0   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c190         i54          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:229 SL:0   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c194         i55          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:241 SL:0   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c197         i56          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:250 SL:0   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c201         i57          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:262 SL:0   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c204         i58          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:271 SL:0   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c208         i59          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:283 SL:0   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c211         i60          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:292 SL:0   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c215         i61          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:304 SL:0   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c218         i62          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:313 SL:0   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c222         i63          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:325 SL:0   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c225         i64          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:334 SL:0   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c229         i65          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:  5 SL:1   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c232         i66          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 14 SL:1   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c236         i67          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 26 SL:1   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c239         i68          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 35 SL:1   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c243         i69          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 47 SL:1   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c246         i70          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 56 SL:1   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c250         i71          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 68 SL:1   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c253         i72          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 77 SL:1   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c257         i73          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 89 SL:1   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c260         i74          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 98 SL:1   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c264         i75          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:110 SL:1   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c267         i76          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:119 SL:1   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c271         i77          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:131 SL:1   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c274         i78          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:140 SL:1   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c278         i79          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:152 SL:1   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c281         i80          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:161 SL:1   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c285         i81          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:173 SL:1   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c288         i82          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:182 SL:1   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c292         i83          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:194 SL:1   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c295         i84          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:203 SL:1   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c299         i85          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:215 SL:1   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c302         i86          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:224 SL:1   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c306         i87          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:236 SL:1   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c309         i88          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:245 SL:1   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c313         i89          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:257 SL:1   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c316         i90          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:266 SL:1   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c320         i91          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:278 SL:1   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c323         i92          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:287 SL:1   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c327         i93          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:299 SL:1   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c330         i94          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:308 SL:1   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c334         i95          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:320 SL:1   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c337         i96          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:329 SL:1   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c341         i97          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:  0 SL:2   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c344         i98          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:  9 SL:2   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c348         i99          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 21 SL:2   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c351         i100         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 30 SL:2   2002:00 2004:00 2007:00 
