Opcode: NOP EA A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7AF P: 0x26 CYC: 137, PPU: cycle 70, scanline 1
Opcode: LDA A9 0 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7B0 P: 0x26 CYC: 139, PPU: cycle 76, scanline 1
Opcode: BPL 10 4 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7B2 P: 0x26 CYC: 141, PPU: cycle 82, scanline 1
Opcode: NOP EA A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7B8 P: 0x26 CYC: 144, PPU: cycle 91, scanline 1
Opcode: LDA A9 80 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7B9 P: 0x26 CYC: 146, PPU: cycle 97, scanline 1
Opcode: BPL 10 3 A: 0x80 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7BB P: 0xA4 CYC: 148, PPU: cycle 103, scanline 1
Opcode: JMP 4C D9 C7 A: 0x80 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7BD P: 0xA4 CYC: 150, PPU: cycle 109, scanline 1
Opcode: NOP EA A: 0x80 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7D9 P: 0xA4 CYC: 153, PPU: cycle 118, scanline 1
Opcode: RTS 60 A: 0x80 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7DA P: 0xA4 CYC: 155, PPU: cycle 124, scanline 1
Opcode: JSR 20 DB C7 A: 0x80 X: 0x0 Y: 0x0 SP: 0xFD PC: 0xC600 P: 0xA4 CYC: 161, PPU: cycle 142, scanline 1
Opcode: NOP EA A: 0x80 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7DB P: 0xA4 CYC: 167, PPU: cycle 160, scanline 1
Opcode: LDA A9 FF A: 0x80 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7DC P: 0xA4 CYC: 169, PPU: cycle 166, scanline 1
Opcode: STA 85 1 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7DE P: 0xA4 CYC: 171, PPU: cycle 172, scanline 1
Opcode: BIT 24 1 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7E0 P: 0xA4 CYC: 174, PPU: cycle 181, scanline 1
Opcode: LDA A9 0 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7E2 P: 0xE4 CYC: 177, PPU: cycle 190, scanline 1
Opcode: SEC 38 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7E4 P: 0x66 CYC: 179, PPU: cycle 196, scanline 1
Opcode: SEI 78 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7E5 P: 0x67 CYC: 181, PPU: cycle 202, scanline 1
Opcode: SED F8 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7E6 P: 0x67 CYC: 183, PPU: cycle 208, scanline 1
Opcode: PHP 8 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7E7 P: 0x6F CYC: 185, PPU: cycle 214, scanline 1
Opcode: PLA 68 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFA PC: 0xC7E8 P: 0x6F CYC: 188, PPU: cycle 223, scanline 1
Opcode: AND 29 EF A: 0x7F X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7E9 P: 0x6D CYC: 192, PPU: cycle 235, scanline 1
Opcode: CMP C9 6F A: 0x6F X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7EB P: 0x6D CYC: 194, PPU: cycle 241, scanline 1
Opcode: BEQ F0 4 A: 0x6F X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7ED P: 0x6F CYC: 196, PPU: cycle 247, scanline 1
Opcode: NOP EA A: 0x6F X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7F3 P: 0x6F CYC: 199, PPU: cycle 256, scanline 1
Opcode: LDA A9 40 A: 0x6F X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7F4 P: 0x6F CYC: 201, PPU: cycle 262, scanline 1
Opcode: STA 85 1 A: 0x40 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7F6 P: 0x6D CYC: 203, PPU: cycle 268, scanline 1
Opcode: BIT 24 1 A: 0x40 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7F8 P: 0x6D CYC: 206, PPU: cycle 277, scanline 1
Opcode: CLD D8 A: 0x40 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7FA P: 0x6D CYC: 209, PPU: cycle 286, scanline 1
Opcode: LDA A9 10 A: 0x40 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7FB P: 0x65 CYC: 211, PPU: cycle 292, scanline 1
Opcode: CLC 18 A: 0x10 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7FD P: 0x65 CYC: 213, PPU: cycle 298, scanline 1
Opcode: PHP 8 A: 0x10 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7FE P: 0x64 CYC: 215, PPU: cycle 304, scanline 1
Opcode: PLA 68 A: 0x10 X: 0x0 Y: 0x0 SP: 0xFA PC: 0xC7FF P: 0x64 CYC: 218, PPU: cycle 313, scanline 1
